영화이름,영화코드,누적관객수
미션 임파서블: 폴아웃,20181181,6567099
인크레더블 2,20183361,2998015
인랑,20170942,891308
신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,667879
앤트맨과 와스프,20180522,5444801
마녀,20185341,3188405
스카이스크래퍼,20181443,999978
어느 가족,20186121,123887
독전: 익스텐디드 컷,20188042,136885
신은 죽지 않았다 3: 어둠 속의 빛,20186001,63047
신과함께-인과 연,20186202,12264813
극장판 헬로카봇 : 백악기 시대,20186501,854230
맘마미아!2,20181942,2280120
공작,20179101,4968325
몬스터 호텔 3,20184802,1023630
명탐정 코난 : 제로의 집행인,20187427,377257
목격자,20170670,2512159
메가로돈,20183584,515536
극장판 도라에몽: 진구의 보물섬,20187641,138640
너의 결혼식,20153446,2812226
나를 차버린 스파이,20187647,258016
마일22,20187657,51350
서치,20185046,2944333
상류사회,20177537,760945
그래비티,20139221,3262924
업그레이드,20189362,178153
어드리프트:우리가 함께한 바다,20189261,41977
물괴,20156554,702096
더 프레데터,20188581,169814
안시성,20176122,5413370
명당,20172204,2066465
협상,20177308,1953273
더 넌,20189262,1007366
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20188304,151054
루이스,20189268,89501
원더풀 고스트,20167903,439910
에그엔젤 코코밍: 두근두근 핼러윈 파티,20180167,42980
극장판 뽀잉: 슈퍼 변신의 비밀,20189746,35688
베놈,20177221,3851409
암수살인,20179189,3777611
곰돌이 푸 다시 만나 행복해,20189123,486038
셜록 놈즈,20189462,83846
미쓰백,20189067,710780
스타 이즈 본,20180523,458917
다이노 어드벤처2: 육해공 공룡 대백과,20180770,34822
에브리데이,20188661,21620
퍼스트맨,20186321,630470
배반의 장미,20184678,29890
펭귄 하이웨이,20187521,25631
액슬,20180628,12152
창궐,20174981,1588443
크레이지 리치 아시안,20182403,147806
해리포터와 마법사의 돌,20010291,259733
완벽한 타인,20177538,5270621
보헤미안 랩소디,20185485,9910706
벽 속에 숨은 마법시계,20181404,211233
할로윈,20180987,90492
동네사람들,20170513,445625
바울,20181171,229837
여곡성,20179006,55997
구스범스: 몬스터의 역습,20182693,21400
신비한 동물들과 그린델왈드의 범죄,20176814,2403686
번 더 스테이지: 더 무비,20183050,298402
성난황소,20184481,1567264
출국,20182935,71407
너의 췌장을 먹고 싶어,20186822,48910
해피 투게더,20189869,15745
베일리 어게인,20183073,78439
툴리,20182669,24325
국가부도의 날,20177552,3723913
후드,20181905,276658
거미줄에 걸린 소녀,20183007,25172
투 프렌즈,20182966,20419
도어락,20179230,1546002
호두까기 인형과 4개의 왕국,20189843,408425
모털 엔진,20178825,262070
런닝맨 : 풀룰루의 역습,20183745,180709
스파이더맨: 뉴 유니버스,20183238,628327
부탁 하나만 들어줘,20182082,87501
스윙키즈,20175547,1462873
아쿠아맨,20180290,5019235
마약왕,20168773,1787825
그린치,20182421,543813
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,259753
극장판 포켓몬스터 모두의 이야기,20183375,86997
범블비,20186281,1553491
PMC: 더 벙커,20170658,1665200
점박이 한반도의 공룡2 : 새로운 낙원,20183785,521053
주먹왕 랄프 2: 인터넷 속으로,20189463,1754950
언니,20184187,172338
말모이,20184105,2848736
내안의 그놈,20176251,1910802
극장판 공룡메카드: 타이니소어의 섬,20183915,379569
그린 북,20184574,409871
글래스,20182544,452460
언더독,20186324,176837
미래의 미라이,20182588,77985
극한직업,20182530,16243231
러브 유어셀프 인 서울,20185124,342366
몬스터 파크,20189385,30571
뺑반,20180868,1821147
드래곤 길들이기 3,20186261,1498759
극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,558144
가버나움,20184896,87787
알리타: 배틀 엔젤,20188282,1946206
레고 무비2,20185444,71030
증인,20185881,2519150
해피 데스데이 2 유,20195915,392397
기묘한 가족,20174169,216254
메리 포핀스 리턴즈,20184888,199519
명탐정 코난:전율의 악보,20162003,83376
사바하,20177539,2389760
신데렐라:마법 반지의 비밀,20195743,281705
해리포터와 비밀의 방,20020222,79301
콜드 체이싱,20185576,78303
항거:유관순 이야기,20196601,1143977
자전차왕 엄복동,20176442,168884
"어쩌다, 결혼",20195791,70827
더 페이버릿: 여왕의 여자,20180937,133508
캡틴 마블,20181877,5796057
리노,20177282,16489
이스케이프 룸,20197283,544462
돈,20176103,3388756
라스트 미션,20197356,93476
숲속왕국의 꿀벌 여왕,20196723,18305
악질경찰,20197846,254451
우상,20175407,175481
페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,20198603,24340
정글북: 마법 원정대,20197617,22534
어스,20185352,1450902
덤보,20196025,296253
장난스런 키스,20183773,390548
썬키스 패밀리,20166301,26086
1919 유관순,20197483,46858
콜레트,20198146,35223
샤잠!,20196244,636971
생일,20183096,1191113
로망,20197092,46938
바이스,20198104,131698
헬보이,20185406,311910
미성년,20180825,279305
공포의 묘지,20197423,87134
파이브 피트,20198403,67395
요로나의 저주,20183454,197125
크게 될 놈,20198982,90320
왓칭,20182501,46139
아이 엠 마더,20198844,83953
어벤져스: 엔드게임,20184889,13887813
뽀로로 극장판 보물섬 대모험,20198183,752508
노팅 힐,19990220,49958
나의 특별한 형제,20185784,1462434
명탐정 피카츄,20198598,680420
어글리 돌,20197147,50816
안도 타다오,20169323,25540
판의 미로 - 오필리아와 세 개의 열쇠,20060347,482408
프렌즈: 둥지탈출,20199736,10185
걸캅스,20184082,1618601
호텔 뭄바이,20185384,61163
악인전,20188941,3346654
배심원들,20187981,270270
교회오빠,20198597,65399
서스페리아,20197503,19684
알라딘,20183867,10161238
어린 의뢰인,20199448,193949
더 보이,20199822,88514
기생충,20183782,9919835
고질라: 킹 오브 몬스터,20184865,352862
0.0MHz,20188144,133522
엑스맨: 다크 피닉스,20182387,860921
이웃집 토토로,19880001,142372
로켓맨,20198291,98703
빅샤크2: 해저2만리,20199063,44189
맨 인 블랙: 인터내셔널,20196657,843649
천로역정: 천국을 찾아서,20190273,228365
업사이드,20191401,30244
세상을 바꾼 변호인,20190466,31379
토이 스토리 4,20184047,3151062
롱 리브 더 킹: 목포 영웅,20198453,1076588
존 윅 3: 파라벨룸,20196655,913066
사탄의 인형,20190885,46546
애나벨 집으로,20199951,459037
비스트,20182585,199009
마담 싸이코,20192022,37437
스파이더맨: 파 프롬 홈,20196309,6685160
BIFAN2019 판타스틱 단편 걸작선 1,20192591,25000
기방도령,20185353,220182
진범,20185986,106756
극장판 엉덩이 탐정: 화려한 사건 수첩,20191601,101245
미드소마,20192151,45707
